35.38s of 37.98s total (93.15%)
Dropped 151 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
     3.91s 10.29% 10.29%      5.82s 15.32%  runtime.mallocgc
     3.01s  7.93% 18.22%      3.93s 10.35%  runtime.scanobject
     2.13s  5.61% 23.83%      2.13s  5.61%  runtime.osyield
     2.10s  5.53% 29.36%      3.95s 10.40%  sync.(*Mutex).Lock
     1.99s  5.24% 34.60%      1.99s  5.24%  runtime.procyield
     1.53s  4.03% 38.63%      1.60s  4.21%  sync.(*Mutex).Unlock
     1.23s  3.24% 41.86%      1.23s  3.24%  runtime.heapBitsSetType
     1.03s  2.71% 44.58%      3.02s  7.95%  github.com/Scalu/sortablechallenge/binaryTree.(*btpMutex).lock
     1.02s  2.69% 47.26%      1.02s  2.69%  runtime.heapBitsForObject
     1.01s  2.66% 49.92%      3.77s  9.93%  github.com/Scalu/sortablechallenge/binaryTree.btpInsert.func2
     0.86s  2.26% 52.19%     11.40s 30.02%  github.com/Scalu/sortablechallenge/binaryTree.btpDelete
     0.72s  1.90% 54.08%      7.90s 20.80%  runtime.systemstack
     0.67s  1.76% 55.85%      0.68s  1.79%  runtime.greyobject
     0.67s  1.76% 57.61%      0.67s  1.76%  runtime.memmove
     0.64s  1.69% 59.29%      1.91s  5.03%  github.com/Scalu/sortablechallenge/binaryTree.(*intOperationManager).CompareValueTo
     0.59s  1.55% 60.85%      1.47s  3.87%  runtime.deferreturn
     0.58s  1.53% 62.37%      0.60s  1.58%  runtime.writebarrierptr_prewrite1
     0.57s  1.50% 63.88%      0.65s  1.71%  runtime.newdefer
     0.51s  1.34% 65.22%      0.51s  1.34%  runtime.memclrNoHeapPointers
     0.44s  1.16% 66.38%      1.73s  4.56%  github.com/Scalu/sortablechallenge/binaryTree.(*btpMutex).unlock
     0.42s  1.11% 67.48%      2.26s  5.95%  github.com/Scalu/sortablechallenge/binaryTree.btpDelete.func6
     0.40s  1.05% 68.54%      1.49s  3.92%  runtime.gcmarkwb_m
     0.38s  1.00% 69.54%      0.65s  1.71%  runtime.freedefer
     0.37s  0.97% 70.51%      5.41s 14.24%  runtime.newobject
     0.34s   0.9% 71.41%      0.34s   0.9%  runtime.stdcall2
     0.32s  0.84% 72.25%     24.77s 65.22%  github.com/Scalu/sortablechallenge/binaryTree.btpRebalance
     0.32s  0.84% 73.09%      0.57s  1.50%  sync.(*Pool).pin
     0.30s  0.79% 73.88%      0.56s  1.47%  fmt.(*fmt).fmt_integer
     0.30s  0.79% 74.67%      1.95s  5.13%  fmt.(*pp).doPrint
     0.30s  0.79% 75.46%      1.09s  2.87%  runtime.shade
